year,month,nights,occupancy_percent,nights_population,occupancy_population
2022,12,304563.0,35.7,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2023,1,232278.0,26.3,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2023,2,238401.0,30.0,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2023,3,297442.0,28.2,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2023,4,556592.0,30.1,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2023,5,1158327.0,43.6,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2023,6,2364130.0,63.0,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2023,7,3596412.0,80.3,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2023,8,3888710.0,82.1,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2023,9,2422375.0,60.2,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2023,10,815070.0,36.5,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2023,11,308575.0,29.8,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2023,12,344914.0,34.5,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2024,1,241244.0,19.3,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2024,2,262991.0,19.1,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2024,3,317694.0,20.5,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2024,4,635864.0,32.7,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2024,5,1173290.0,40.1,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2024,6,2509326.0,63.4,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2024,7,3755482.0,78.1,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2024,8,4138712.0,81.2,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2024,9,2586385.0,61.4,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2024,10,859015.0,33.9,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2024,11,327336.0,24.5,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2024,12,377361.0,33.1,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
