dataset_code,activity,year,month,value,status,flag
tour_occ_arm,I552,2020,10,138696.0,observed,
tour_occ_arm,I552,2020,11,28122.0,observed,
tour_occ_arm,I552,2020,12,23290.0,observed,
tour_occ_arm,I552,2021,1,11539.0,observed,
tour_occ_arm,I552,2021,2,12232.0,observed,
tour_occ_arm,I552,2021,3,15841.0,observed,
tour_occ_arm,I552,2021,4,14198.0,observed,
tour_occ_arm,I552,2021,5,72055.0,observed,
tour_occ_arm,I552,2021,6,348466.0,observed,
tour_occ_arm,I552,2021,7,747618.0,observed,
tour_occ_arm,I552,2021,8,987907.0,observed,
tour_occ_arm,I552,2021,9,572302.0,observed,
tour_occ_arm,I552,2021,10,240254.0,observed,
tour_occ_arm,I552,2021,11,57432.0,observed,
tour_occ_arm,I552,2021,12,53483.0,observed,
tour_occ_arm,I552,2022,1,44266.0,observed,
tour_occ_arm,I552,2022,2,44006.0,observed,
tour_occ_arm,I552,2022,3,53862.0,observed,
tour_occ_arm,I552,2022,4,177365.0,observed,
tour_occ_arm,I552,2022,5,380309.0,observed,
tour_occ_arm,I552,2022,6,892536.0,observed,
tour_occ_arm,I552,2022,7,1383923.0,observed,
tour_occ_arm,I552,2022,8,1788582.0,observed,
tour_occ_arm,I552,2022,9,901161.0,observed,
tour_occ_arm,I552,2022,10,306663.0,observed,
tour_occ_arm,I552,2022,11,67701.0,observed,
tour_occ_arm,I552,2022,12,64693.0,observed,
tour_occ_arm,I552,2023,1,63868.0,observed,
tour_occ_arm,I552,2023,2,57443.0,observed,
tour_occ_arm,I552,2023,3,76238.0,observed,
tour_occ_arm,I552,2023,4,225912.0,observed,
tour_occ_arm,I552,2023,5,451121.0,observed,
tour_occ_arm,I552,2023,6,1074687.0,observed,
tour_occ_arm,I552,2023,7,1543556.0,observed,
tour_occ_arm,I552,2023,8,1872727.0,observed,
tour_occ_arm,I552,2023,9,976830.0,observed,
tour_occ_arm,I552,2023,10,325590.0,observed,
tour_occ_arm,I552,2023,11,77447.0,observed,
tour_occ_arm,I552,2023,12,75305.0,observed,
tour_occ_arm,I552,2024,1,65332.0,observed,
tour_occ_arm,I552,2024,2,60954.0,observed,
tour_occ_arm,I552,2024,3,83221.0,observed,
tour_occ_arm,I552,2024,4,238123.0,observed,
tour_occ_arm,I552,2024,5,495993.0,observed,
tour_occ_arm,I552,2024,6,1124402.0,observed,
tour_occ_arm,I552,2024,7,1595948.0,observed,
tour_occ_arm,I552,2024,8,1973995.0,observed,
tour_occ_arm,I552,2024,9,1018555.0,observed,
tour_occ_arm,I552,2024,10,353335.0,observed,
tour_occ_arm,I552,2024,11,81845.0,observed,
tour_occ_arm,I552,2024,12,80736.0,observed,
tour_occ_arm,I552,2025,1,67653.0,observed,
tour_occ_arm,I552,2025,2,65977.0,observed,
tour_occ_arm,I552,2025,3,88179.0,observed,
tour_occ_arm,I552,2025,4,247312.0,observed,
tour_occ_arm,I552,2025,5,527910.0,observed,
tour_occ_arm,I552,2025,6,1178096.0,observed,
tour_occ_arm,I552,2025,7,1667722.0,observed,
tour_occ_arm,I552,2025,8,2076658.0,observed,
tour_occ_arm,I552,2025,9,1036143.0,observed,
tour_occ_arm,I552,2025,10,356650.0,observed,
tour_occ_arm,I552,2025,11,84152.0,observed,
tour_occ_arm,I552,2025,12,81404.0,observed,
tour_occ_nim,I551,2019,1,1363290.0,observed,
tour_occ_nim,I551,2019,2,1432081.0,observed,
tour_occ_nim,I551,2019,3,2210517.0,observed,
tour_occ_nim,I551,2019,4,5499018.0,observed,
tour_occ_nim,I551,2019,5,11748128.0,observed,
tour_occ_nim,I551,2019,6,16741941.0,observed,
tour_occ_nim,I551,2019,7,20240224.0,observed,
tour_occ_nim,I551,2019,8,21435611.0,observed,
tour_occ_nim,I551,2019,9,16309875.0,observed,
tour_occ_nim,I551,2019,10,8690461.0,observed,
tour_occ_nim,I551,2019,11,1836750.0,observed,
tour_occ_nim,I551,2019,12,1699084.0,observed,
tour_occ_nim,I551,2020,1,1489376.0,observed,
